movie_title,release_year,certificate,time_num,time_unit,genre1,genre2,genre3,stars,score,description,director_name,cast1,cast2,cast3,cast4,votes
"Next Stop, Christmas",2021,TV-G,84,min,Comedy,Drama,Fantasy,7.1,NA,Angie is determined to spend Christmas alone but her usual commuter ride turns into a Christmas train that drops her off in her home town in 2011.,Dustin Rikert,Lyndsy Fonseca,Chandler Massey,Erika Slezak,Eric Freeman,1872
Christmas on My Mind,2019,NA,84,min,Comedy,Drama,Romance,6.5,NA,"When Lucy wakes up with a wedding dress in hand, she believes that she is late to her wedding with her ex-boyfriend Zach. However, she has no recollection of the past 2 years, including the fact that she is engaged to another man.",Maclain Nelson,Ashley Greene,Andrew W. Walker,Jackée Harry,Donna Benedicto,1328
One Royal Holiday,2020,TV-G,85,min,Comedy,Drama,Family,7,NA,"When Anna offers a stranded mother and son shelter in a blizzard, she learns that they are the Royal Family of Galwick. Anna shows the Prince how they do Christmas in her hometown, encouraging him to open his heart and be true to himself.",Dustin Rikert,Laura Osnes,Krystal Joy Brown,Tom McGowan,Bradley Rose,1940
The Nine Kittens of Christmas,2021,TV-G,84,min,Comedy,Drama,Family,6.7,NA,Zachary and Marilee are thrown back together at Christmas when they're tasked with finding homes for a litter of adorable kittens.,David Winning,Brandon Routh,Kimberley Sustad,Gregory Harrison,Stephanie Bennett,1313
A Timeless Christmas,2020,TV-G,84,min,Comedy,Fantasy,Romance,7.1,NA,Charles Whitley travels from 1903 to 2020 where he meets Megan Turner and experiences a 21st Century Christmas.,Ron Oliver,Erin Cahill,Ryan Paevey,Brandi Alexander,Zahf Paroo,2427
My Christmas Family Tree,2021,TV-G,84,min,Drama,Romance,NA,7.7,NA,"When Vanessa receives the results from her Family Tree DNA test, she discovers a family she didn't know existed and travels to their home for Christmas.",Jason Bourque,Aimee Teegarden,Andrew W. Walker,James Tupper,Kendall Cross,1734
The Christmas Ring,2020,TV-G,84,min,Drama,Romance,NA,6.5,NA,A website writer tries to locate the owner of an antique engagement ring for her latest human interest story.,Troy Scott,Nazneen Contractor,David Alpay,Kazumi Evans,Chelsey Reist,953
Office Christmas Party,2016,R,105,min,Comedy,NA,NA,5.8,42,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,Will Speck,Jason Bateman,Olivia Munn,T.J. Miller,80405
The Christmas Chronicles: Part Two,2020,PG,112,min,Adventure,Comedy,Family,6,51,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,Julian Dennison,30027
Time for Me to Come Home for Christmas,2018,TV-G,84,min,Comedy,Drama,Music,6.6,NA,"When strangers Cara and Heath are stranded before Christmas, they embark on an unexpected journey that may give them the miracles they've been hoping for.",David Winning,Josh Henderson,Megan Park,Lindsay Maxwell,Paul McGillion,1448
8-Bit Christmas,2021,PG,97,min,Comedy,Family,NA,6.7,66,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",Michael Dowse,Winslow Fegley,Neil Patrick Harris,Steve Zahn,June Diane Raphael,16235
The Nutcracker and the Four Realms,2018,PG,99,min,Adventure,Family,Fantasy,5.5,39,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Lasse Hallström,Joe Johnston,Mackenzie Foy,Keira Knightley,Morgan Freeman,33727
Noelle,2019,G,100,min,Adventure,Comedy,Family,6.3,48,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Marc Lawrence,Anna Kendrick,Shirley MacLaine,Bill Hader,Kingsley Ben-Adir,21640
Switched for Christmas,2017,TV-G,90,min,Comedy,Drama,Family,6.6,NA,"When identical twin sisters are stuck planning their respective Christmas parties, they're convinced the grass is greener on the other side and decide to swap lives for the holidays.",Lee Friedlander,Candace Cameron Bure,Eion Bailey,Mark Deklin,Natasha Bure,2963
Christmas by Starlight,2020,TV-G,84,min,Comedy,Drama,Romance,7.2,NA,"When her family's beloved café is slated for demolition, Annie vows to put a stop to it before Christmas.",Gary Yates,Kimberley Sustad,Paul Campbell,Darren Martens,Bruce Dawson,1716
Chateau Christmas,2020,TV-G,84,min,Comedy,Drama,Music,6.4,NA,"World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.",Michael Robison,Merritt Patterson,Luke Macfarlane,Jesse Hutch,Julia Benson,1479
The Perfect Christmas Present,2017,TV-G,82,min,Drama,Romance,NA,6.3,NA,"Tom is called Mr. Christmas due to his ability to determine the perfect Christmas gift for someone, befitting their personality.",Blair Hayes,Sam Page,Tara Holt,Sam Guinan-Nyhart,Emily Peterson,1581
Home Sweet Home Alone,2021,PG,93,min,Comedy,Crime,Family,3.6,35,A married couple tries to steal back a valuable heirloom from a troublesome kid.,Dan Mazer,Ellie Kemper,Rob Delaney,Archie Yates,Aisling Bea,16924
Home for Christmas,2019,TV-MA,29,min,Comedy,Drama,Romance,7.7,NA,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.",Dennis Storhøi,Ida Elise Broch,Oddgeir Thune,Hege Schøyen,NA,14096
Christmas with the Darlings,2020,TV-G,84,min,Comedy,Family,Romance,7.1,NA,A woman helps a charming man look after his orphaned nieces and nephew during the holidays.,Catherine Cyran,Katrina Law,Carlo Marks,Steve Bacic,Islie Hirvonen,1390
A Heavenly Christmas,2016,TV-G,93,min,Drama,Fantasy,Romance,6.4,NA,"Upon her untimely death, a workaholic who never put much value into the joys of Christmas finds herself recruited to be a Christmas Angel -- and is assigned a hard luck case that she accidentally falls in love with.",Paul Shapiro,Kristin Davis,Eric McCormack,Shirley MacLaine,Jaeda Lily Miller,1859
A Godwink Christmas: Miracle of Love,2021,TV-G,84,min,Comedy,Drama,Romance,6.3,NA,"Brought together by community service, Eric and Joy find new purpose at Christmas. As they help a family rebuild their home, coincidences and a medical miracle lead them to believe in destiny.",Heather Hawthorn Doyle,Katherine Barrell,Alberto Frezza,Josh Ssettuba,Faith Wright,630
Hope at Christmas,2018,TV-G,82,min,Comedy,Drama,Romance,6.5,NA,"Divorced Sydney inherits a house from her grandma. Seeing it with her 8 y.o. daughter, she stops at the bookstore and meets a single teacher there. She ends up helping out there for the Christmas season.",Alex Wright,Scottie Thompson,Ryan Paevey,Erica Tremblay,Colleen Winton,1326
Reunited at Christmas,2018,TV-G,85,min,Drama,Romance,NA,6.2,NA,"Tasked with penning a Christmas novel, a successful writer returns to her late-grandmother's home for a family reunion during the holiday season.",Steven R. Monroe,Nikki Deloach,Mike Faiola,Eileen Pedde,Andrew Airlie,1099
The Mistletoe Promise,2016,TV-G,84,min,Comedy,Drama,Family,6.6,NA,Two self-confessed 'Christmasphobes' sign a contract which will mutually benefit them over the holiday season.,David Winning,Jaime King,Luke Macfarlane,Christie Laing,Lochlyn Munro,3306
A Joyous Christmas,2017,TV-G,83,min,Drama,Family,Romance,6.2,NA,A young self-help author returns to her hometown during the Christmas holidays to promote her new book. She soon discovers the true meaning of Christmas and family.,Allan Harmon,Natalie Knepp,Michael Rady,Bonnie Bedelia,Steve Bacic,1309
Christmas in Evergreen,2017,TV-G,84,min,Family,Fantasy,Romance,6.5,NA,"Hoping to spur her longtime beau to action, a small-town veterinarian wishes upon a snow globe that this will be her most romantic Christmas ever.",Alex Zamm,Ashley Williams,Teddy Sears,Holly Robinson Peete,Jaeda Lily Miller,2564
Meet Me at Christmas,2020,NA,83,min,Drama,Romance,NA,6.4,NA,"When Joan's (Bell) son's wedding planner unexpectedly quits, she must coordinate his Christmas eve wedding with the help of Beau (Deklin), the bride's uncle. As they work alongside each ...                See full summary »",Annie Bradley,Catherine Bell,Mark Bellamy,Luke Bilyk,Owen Bishop,941
A Godwink Christmas,2018,TV-G,85,min,Drama,Romance,NA,6.6,NA,A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.,Michael Robison,Kimberley Sustad,Paul Campbell,Kathie Lee Gifford,Giles Panton,1656
A Royal Queens Christmas,2021,TV-G,84,min,Drama,Romance,NA,6.4,NA,A prince finds his way to Queens during Christmas when a local woman enlists his help with a children's Christmas show.,Lee Friedlander,Megan Park,Julian Morris,Michael Hanrahan,Nicola Correia-Damude,995
Christmas at Holly Lodge,2017,TV-G,84,min,Comedy,Drama,Romance,6.5,NA,"Sophie Bennett, the owner, tries to convince a developer that the lodge would be a bad investment.",Jem Garrard,Alison Sweeney,Jordan Bridges,Sheryl Lee Ralph,Yan-Kay Crystal Lowe,1566
Too Close For Christmas,2020,G,88,min,Drama,Romance,NA,5.8,NA,A woman's feelings start to change when she reluctantly spends Christmas with the man responsible for ending her last relationship.,Ernie Barbarash,Chad Michael Murray,Jessica Lowndes,Vanessa Sears,Steve Byers,1724
A Christmas in Vermont,2016,TV-PG,86,min,Comedy,Romance,NA,5.4,NA,A company executive is tasked with liquidizing a small town outerwear manufacturer over the Christmas season.,Fred Olen Ray,Abigail Hawk,Chevy Chase,David O'Donnell,Howard Hesseman,991
Time for Us to Come Home for Christmas,2020,TV-G,84,min,Romance,NA,NA,7,NA,"Five guests are mysteriously invited to an inn to celebrate Christmas. With the help of the owner Ben, Sarah discovers that an event from the past may connect them and change their lives forever.",David Winning,Lacey Chabert,Stephen Huszar,Lini Evans,Leon,1250
Sister Swap: A Hometown Holiday,2021,TV-G,83,min,Romance,NA,NA,6.3,NA,A widow attempts to reopen her late-uncle's old dilapidated small town movie theater for one last Christmas screening.,Sean McNamara,Kimberly Williams-Paisley,Mark Deklin,Susan Yeagley,Kevin Nealon,1043
A Christmas Love Story,2019,TV-G,84,min,Drama,Music,Romance,6.9,NA,"A youth choir director (Chenoweth) needs to write a big song for the Christmas Eve show but ""finds herself distracted"" when a boy with a golden voice (Kevin Quinn) joins her choir, which will come as news to his widowed father (Wolf).",Eric Close,Kristin Chenoweth,Scott Wolf,Kevin Quinn,Keith D. Robinson,1435
Christmas Next Door,2017,TV-G,86,min,Family,Romance,NA,6.5,NA,"A famous MGTOW author is forced to look after his niece and nephew over the holidays and, with the help of his Christmas-loving neighbor, he learns to find love and the Christmas spirit.",Jonathan Wright,Jesse Metcalfe,Fiona Gubelmann,Brittany Bristow,Jenna Weir,2443
Cross Country Christmas,2020,TV-G,83,min,Comedy,Romance,NA,6.7,NA,"After their flight is diverted, two old school friends work together to try and get back home in time for Christmas.",Catherine Cyran,Rachael Leigh Cook,Greyston Holt,Jon Cor,Robyn Bradley,1464
A Christmas Prince,2017,TV-PG,92,min,Comedy,Family,Romance,5.8,NA,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",Alex Zamm,Rose McIver,Ben Lamb,Alice Krige,Honor Kneafsey,19795
"A Godwink Christmas: Second Chance, First Love",2020,TV-G,85,min,Drama,Family,Romance,6.8,NA,"After 15 years, a single father moves home from Hawaii with his two sons, and through a series of coincidences--or Godwinks--ends up stuck in traffic next to his high school sweetheart.",Heather Hawthorn Doyle,Brooke D'Orsay,Sam Page,Michele Scarabelli,Rhys Slack,1045
Christmas Getaway,2017,TV-G,90,min,Comedy,Drama,Romance,7,NA,"A travel writer takes a Christmas vacation, but finds herself double-booked with a widower, his mother, and his daughter at the holiday site.",Mel Damski,Bridget Regan,Travis Van Winkle,Raven Stewart,Teryl Rothery,3018
Coming Home for Christmas,2017,TV-G,86,min,Drama,Romance,NA,6.6,NA,"Lizzie Richfield lands a job as house manager for the exquisite Ashford Estate in Virginia. While preparing the place for sale, Lizzie plans one final Christmas Eve gala for the Marley family, though they seem to be a family in name only.",Mel Damski,Danica McKellar,Neal Bledsoe,Andrew Francis,Lindsay Maxwell,2152
Christmas Inheritance,2017,NA,104,min,Comedy,Drama,Romance,5.7,NA,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?",Ernie Barbarash,Eliza Taylor,Jake Lacy,Andie MacDowell,Neil Crone,11882
Christmas Around the Corner,2018,TV-PG,90,min,Comedy,Drama,Romance,6.6,NA,"Claire, a savvy venture capitalist from New York City, escapes to a quaint town in Vermont for the holidays and becomes a guest of the Fortenbury Bookstore. Upon arrival, Claire finds ...                See full summary »",Megan Follows,Alexandra Breckenridge,Jamie Spilchuk,Jane Alexander,Tara Spencer-Nairn,1515
A Wish For Christmas,2016,TV-G,84,min,Drama,Family,Fantasy,5.9,NA,"Sara Thomas is the type of woman who prefers to sit on the sidelines at work, but when her big idea for a Christmas initiative is stolen, she makes a wish to Santa that she'll finally have ...                See full summary »",Christie Will Wolf,Lacey Chabert,Paul Greene,Andrea Brooks,Colleen Wheeler,4817
A Bramble House Christmas,2017,Not Rated,84,min,Drama,Romance,NA,7.1,NA,"Finn Conrad becomes suspicious as to why his father left a nurse, named Willa $100,000, and goes undercover to investigate. When she discovers his true identity, will it keep her from ever trusting him again?",Steven R. Monroe,Autumn Reeser,David Haydn-Jones,Liam Hughes,Teryl Rothery,2301
An Unexpected Christmas,2021,TV-G,83,min,Romance,NA,NA,6.9,NA,Emily works at an ad agency and is sent to her ex's hometown before Christmas. She arrives at the train station as her ex is picked up by his family. They mistakenly think Emily's still an item.,Michael Robison,Tyler Hynes,Bethany Joy Lenz,Alison Wandzura,Lynda Boyd,1909
Finding Father Christmas,2016,TV-G,84,min,Drama,Romance,NA,6.8,NA,"Raised by her mother, but orphaned at a young age at Christmas, Miranda finds a clue that will take her to the truth about her father. Along the way, she finds romance and rekindles her Christmas spirit.",Terry Ingram,Erin Krakow,Niall Matter,P. Lynn Johnson,Michael Kopsa,2311
A California Christmas,2020,PG-13,106,min,Comedy,Drama,Romance,5.8,NA,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.",Shaun Paul Piccinino,Lauren Swickard,Josh Swickard,Ali Afshar,David Del Rio,10007
The Christmas Doctor,2020,NA,84,min,Drama,Romance,NA,6.9,NA,A travelling locum doctor finds love and a home at her latest assignment in Willowbrook,Kevin Fair,Holly Robinson Peete,Adrian Holmes,Fred Henderson,Bronwen Smith,759
Sleigh Bells Ring,2016,TV-G,82,min,Comedy,Family,Romance,6.3,NA,A busy single mom tasked with organizing her city's Christmas parade discovers an antique sleigh which seems to have a mind of its own.,Marita Grabiak,Erin Cahill,David Alpay,Dakota Guppy,Jenna Romanin,1346
A Veteran's Christmas,2018,TV-G,84,min,Drama,Romance,NA,6.9,NA,"After receiving an honorable discharge, a former Marine suffers a minor car accident which strands her in a small town for the Christmas season.",Mark Jean,Sean Faris,Eloise Mumford,Mary Long,Amanda Lisman,1979
The Princess Switch 3,2021,TV-PG,106,min,Comedy,Drama,Family,5.5,NA,"When a priceless relic is stolen, Queen Margaret and Princess Stacy enlist the help of Margaret's cousin Fiona teams with a man from her past to retrieve it, with romance and resulting in a very unexpected switch.",Mike Rohl,Vanessa Hudgens,Remy Hii,Sam Palladio,Nick Sagar,6022
Engaging Father Christmas,2017,TV-G,88,min,Drama,Romance,NA,6.7,NA,"This Christmas promises to be the best of Miranda Chester's life. She has returned to the beautiful New England town of Carlton Heath, where last year she found love with Ian McAndrick and she is among the family she never knew she had.",David Winning,Erin Krakow,Niall Matter,Wendie Malick,P. Lynn Johnson,1569
Five Star Christmas,2020,TV-G,84,min,Comedy,Romance,NA,7,NA,"When a travel writer shows up unexpectedly at their dad's Bed and Breakfast, the Ralston family all pretend to be guests in hopes of a good review. Lucy (Bethany Joy Lenz) falls for guest Jake (Victor Webster), but can't share her secret.",Christie Will Wolf,Bethany Joy Lenz,Victor Webster,Robert Wisden,Laura Soltis,2003
Once Upon a Main Street,2020,TV-PG,87,min,Comedy,Drama,Romance,6.3,NA,"Amelia, who wants to open a year-round Christmas store, bids for a shop lot against Vic, who wants to open a chocolate shop. Rivalry becomes romance when they must work together.",Polly Draper,Vanessa Lachey,Ryan McPartlin,Polly Draper,Scott Takeda,612
Christmas with a View,2018,TV-PG,91,min,Drama,Romance,NA,5.2,NA,Secret aspirations between a failed restaurateur and a celebrity chef threaten their blossoming Christmas romance.,Justin G. Dyck,Kaitlyn Leeb,Scott Cavalheiro,Mark Ghanimé,Kristen Kurnik,4653
The Christmas Cottage,2017,TV-G,90,min,Comedy,Drama,Romance,6.3,NA,"While helping to organize her best friend's Christmas wedding, a successful designer reconnects with an old flame.",Paul A. Kaufman,Merritt Patterson,Steve Lund,Brittney Wilson,Victor Zinck Jr.,2052
A Shoe Addict's Christmas,2018,TV-G,85,min,Fantasy,Romance,NA,6.6,NA,Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.,Michael Robison,Candace Cameron Bure,Luke Macfarlane,Jean Smart,Tenika Davis,2537
The Christmas House,2020,TV-G,84,min,Drama,Romance,NA,6,NA,"Working through some difficult decisions, a mother and father summon their two grown sons home for the holidays.",Michael Grossman,Robert Buckley,Ana Ayora,Treat Williams,Sharon Lawrence,2014
Unlocking Christmas,2020,TV-G,85,min,Mystery,Romance,NA,6.4,NA,"When a mysterious key and a holiday riddle arrive on their doorsteps, Kate and Kevin embark on a Christmas romance adventure they'll never forget.",Don McBrearty,Taylor Cole,Steve Lund,Elena Juatco,Darryl Hinds,1033
The Princess Switch,2018,TV-PG,101,min,Comedy,Drama,Family,6,NA,"Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days.",Mike Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Alexa Adeosun,28303
Bad Santa 2,2016,R,92,min,Comedy,Crime,Drama,5.6,38,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Mark Waters,Billy Bob Thornton,Kathy Bates,Tony Cox,Christina Hendricks,25825
Holly & Ivy,2020,TV-G,85,min,Drama,Family,Romance,7.1,NA,A contractor helps a woman renovate a house so she can adopt a sick neighbor's two children.,Erica Dunton,Janel Parrish,Jeremy Jordan,Marisol Nichols,Sadie Coleman,1133
Candy Coated Christmas,2021,NA,83,min,Comedy,Romance,NA,5.9,NA,"A rich L.A. marketing executive heads to a small town during the Christmas season to arrange for the sale of a property she owns, unbeknownst to her tenants.",Ellie Kanner,Molly McCook,Aaron O'Connell,Lee Garlington,Landry Townsend,311
Christmas Joy,2018,TV-G,84,min,Family,Romance,NA,6.4,NA,"Joy Holbrook is a market researcher about to get a sweet promotion just in time for the holidays. But she receives an urgent phone call from home and rushes back to help her Aunt recover from surgery, reuniting with her former crush, Ben.",Monika Mitchell,Danielle Panabaker,Matt Long,Lucia Walters,Beverley Elliott,1838
Christmas Wishes and Mistletoe Kisses,2019,TV-G,84,min,Drama,Family,Romance,6.5,NA,An interior designer is hired to decorate a lavish mansion over the Christmas season.,D.J. Viola,Jill Wagner,Matthew Davis,Brandon Quinn,Donna Mills,1604
A Christmas Movie Christmas,2019,Unrated,85,min,Comedy,Fantasy,Romance,5.6,NA,"Following a Christmas Eve wish to Santa, two sisters wake up inside a Christmas movie.",Brian Herzlinger,Brant Daugherty,Lana McKissack,Kimberly Daugherty,Ryan Merriman,1252
A Godwink Christmas: Meant for Love,2019,Not Rated,85,min,Drama,Romance,NA,6.9,NA,"Is it divine intervention/Godwink, coincidences or a meddling mom, when Alice, managing the family clothing store, and Jack, medical sales, keep bumping into each other before Christmas?",Paul Ziller,Cindy Busby,Benjamin Hollingsworth,Kathie Lee Gifford,Hilary Jardine,1517
Making Spirits Bright,2021,TV-G,84,min,Drama,Romance,NA,6.2,NA,Grace and Tony are from two separate families who are in the business of decorating homes for Christmas. Unfortunately they have also been in feud for as long as anyone can remember. But ...                See full summary »,David Bercovici-Artieda,Taylor Cole,Carlo Marks,Sarah Surh,John Cassini,668
Dear Christmas,2020,TV-G,86,min,Comedy,Drama,Romance,6,NA,"Natalie has a hit podcast based on love, but she isn't so expert at finding it herself until Chris Massey enters her life and shakes things up. Not to mention his name.",Emily Moss Wilson,Melissa Joan Hart,Ed Begley Jr.,Faith Prince,Nicky Whelan,1201
Marrying Father Christmas,2018,TV-G,85,min,Drama,Mystery,Romance,6.3,NA,"When Miranda Chester set off to find information on her biological father two Christmases ago, she never imagined that her investigation would lead her to both the family she had always longed for and Ian McAndrick - the love of her life.",David Winning,Erin Krakow,Niall Matter,Wendie Malick,P. Lynn Johnson,1345
Godmothered,2020,PG,110,min,Comedy,Drama,Family,6.1,49,An unskilled young fairy godmother ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored.,Sharon Maguire,June Squibb,Jillian Bell,Sonia Manzano,Carlease Burke,12584
Sister Swap: Christmas in the City,2021,TV-G,84,min,Comedy,Romance,NA,6,NA,Two sisters and a holiday adventure.,Sean McNamara,Ashley Williams,Kevin Nealon,Keith D. Robinson,Kimberly Williams-Paisley,742
Christmas at the Plaza,2019,TV-G,84,min,Drama,Romance,NA,6.5,NA,An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.,Ron Oliver,Elizabeth Henstridge,Ryan Paevey,Bruce Davison,Julia Duffy,2659
A Christmas to Remember,2016,TV-G,84,min,Comedy,Drama,Romance,6.5,NA,"Following a car accident which leaves her with a bout of amnesia, a celebrity chef gets stranded in a small town over the Christmas season.",David Weaver,Mira Sorvino,Cameron Mathison,Jesse Filkow,Bailey Skodje,2373
A Cinderella Story: Christmas Wish,2019,PG,85,min,Comedy,Family,Fantasy,5.2,NA,"Despite her vain stepmother and mean stepsisters, an aspiring singer finds her own holiday miracle as she works as an elf at a Christmas-tree lot.",Michelle Johnston,Laura Marano,Gregg Sulkin,Isabella Gomez,Johannah Newmarch,6601
On the 12th Date of Christmas,2020,TV-G,84,min,Comedy,Romance,NA,7.2,NA,"Two game creators, both vying for a promotion, must team up to create a Christmas scavenger hunt.",Gary Yates,Mallory Jansen,Tyler Hynes,Cherissa Richards,Clare Filipow,1796
The Knight Before Christmas,2019,TV-PG,92,min,Adventure,Comedy,Drama,5.5,NA,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,Monika Mitchell,Vanessa Hudgens,Josh Whitehouse,Emmanuelle Chriqui,Ella Kenion,18116
A Cinderella Christmas,2016,Unrated,93,min,Comedy,Romance,NA,6.2,NA,"After a wealthy celebrity falls in love with a mystery woman at his Christmas masquerade ball, he attempts to discover her true identity.",Tosca Musk,Emma Catherine Rigby,Peter Porte,Sarah Stouffer,Leland B. Martin,3112
The Princess Switch: Switched Again,2020,TV-G,96,min,Comedy,Drama,Family,5.4,NA,"When Duchess Margaret unexpectedly inherits the throne to Montenaro and hits a rough patch with Kevin, it's up to her double Stacy to save the day before a new lookalike, party girl Fiona foils their plans.",Mike Rohl,John Jack,Vanessa Hudgens,Sam Palladio,Mark Fleischmann,11694
Operation Christmas Drop,2020,TV-G,95,min,Comedy,Family,Romance,5.8,47,"Congressional aide Erica forgoes family Christmas to travel at her boss's behest. At a beach side Air Force base, she clashes with Capt. Andrew Jantz, who knows her assignment is finding reasons to defund the facility.",Martin Wood,Kat Graham,Alexander Ludwig,Trezzo Mahoro,Bethany Brown,11677
